Repo,Issue-no,Issue-title,Issue-body,Issue-reaction-total-count,Issue-reaction-plus-one,Issue-reaction-minus-one,Issue-comments
ComputerScienceHouse/Constitution,199,delete travis because rip travis,"Check one:
- [ ] Semantic Change: something about the meaning of the text is different
- [x] Non-semantic Change: Spelling, grammar, or formatting changes.

Summary of change(s):
rip travis CI, we should move this to github actions
",0,0,0,0
ComputerScienceHouse/Constitution,198,Remove spending committees,"Check one:
- [x] Semantic Change: something about the meaning of the text is different
- [ ] Non-semantic Change: Spelling, grammar, or formatting changes.

This PR attempts to address a few things. First and most importantly, the notion of a spending committee is unnecessary bureaucracy that we should trim from the spending process.

## Delete spending committees

Currently, the process is for spending money from a directorship's budget is (roughly) the following:
1. Get permission from the directorship who's budget the purchase will fall under
2. Get approval from financials to spend the money
3. Request approval from RIT (Currently res life, subject to change)
3b. Wait probably a few days to get approval from RIT (I have a lot of complaints about this part but this is a PR not a discourse post)
4. If the purchase is between $100-$300, convince 1 4 of quorum (Currently ~10 ish active voting members, which is tough to come by pre-ten weeks) to gather somewhere and say whether or not you're allowed to use your budget
5. Pick up the pro card from RIT during business hours, or if it's an online purchase hope that you can buy said thing from an RIT approved vendor, otherwise more bureaucracy incoming
6. Actually go spend money on some purchase
7. Return the pro card and any relevant receipts to RIT by 2pm the following day (If online purchase, skip this step)

Removing the spending committee would delete step 4 from the process. My argument is that there are already several layers of approval already baked into the process of spending CSH funds and that a spending committee does not accomplish it's goal of preventing directorships for making purchases that they should not be making, and instead is just a big waste of time.

It's also been particularly difficult when attempting to plan events whose cost scales with the number of attendees when we get one number on an interest form and then right before the event a ton of people sign up. It's tough to know which events we'd need to do comittees for and which we wouldn't, and we're discouraged from simply always holding spending committees because of the hassle of organizing them. A point to the contrary is that we could make sign up forms for every event with a deadline and say that anyone who doesn't sign up by the deadline will have to pay for themselves. While there is definitely merit in this idea, it would likely have the direct result of reducing attendance which is something we generally try to avoid as much as possible.

## Define ""single expenditures""

Second, I added a definition to what a `single expenditure` is, as previously we only had a definition for what a group expenditure is. Definitely open to modifying that definition, it just seemed non-obvious to determine what a single expenditure is based on the definition provided.

## Change the $300 limit to a percentage of a directorship's budget
Third, I changed the value of what the single group expenditures to sort of fill in the gaps of where the spending committee left off. Rather than having a fixed value for the distinction between purchases, I opted to include a percentage of the directorship's' budget. Also, I'm totally down to change the exact values, this post is mostly for discussion so I didn't think too hard about the exact numbers.

Pros of this change:
* The amount directorships can spend will change from year to year based on our overall budget
  * While there are some fixed purchases, the vast majority of the purchases we make demonstrate a positive correlation between price and the number of active members. Opcomm will have to buy less hard drives if there's less members making minecraft servers, socials will have to spend less money on welcome back if there's less people eating burgers, etc
* Larger directorships will have higher limits than smaller directorships
  * If smaller budgets like PR are spending more than $40, we probably should know about it. On the other hand, it's hard for socials to make a purchase without spending over $40, and they probably shouldn't have to ask house every time they want to spend money
* While at the end of the day it's still an arbitrary percentage, saying ""don't spend more than 10% of your budget in one go"" has a pretty clear rationality behind it as opposed to saying ""don't spend above the magic number $100 or else,"" which can be frustrating to members

Cons of this change:
* I'm biased
  * The socials budget is the largest budget, and these changes would make it easier for larger budgets and potentially more restrictive for smaller budgets
* The amount directorships can spend will change from year to year based on our overall budget
  * I definitely think this is more a pro than a con, but there are definitely some fixed costs that we have. Our app store license is always $100 a year regardless of how many members we have(idk if we even pay for that anymore but you get the idea)
  * ""Active"" members who participate a bunch in csh does not always equal active members who pay dues.
    * The proportion of active alumni to active members can sometimes fluctuate pretty heavily, so having a percentaged based off of the total budget (which consists solely of dues afaik) might not be the best metric
* Directorships would need to be aware of their individual limits and would not just be able to determine if they need a vote on something if it's >$300

tl;dr is spending committees mostly just hinder members trying to do the right thing and in reality don't do anything to prevent directorships from abusing the system if they're so inclined, so we should just get rid of it. Also, having a fixed value be the distinction between needing to vote on a purchase or not sorta sucks and should be replaced with a percentage. ",0,0,0,3
ComputerScienceHouse/Constitution,197,Outdated,"Check one:
- [x] Semantic Change: something about the meaning of the text is different
- [ ] Non-semantic Change: Spelling, grammar, or formatting changes.

Outdated",0,0,0,1
ComputerScienceHouse/Constitution,196,allow honorary and advisory members accounts without completion of packet,"Check one:
- [x] Semantic Change: something about the meaning of the text is different
- [ ] Non-semantic Change: Spelling, grammar, or formatting changes.

Summary of change(s): It's dumb that honorary members need to complete packet so this changes that.


",0,0,0,1
ComputerScienceHouse/Constitution,195,Rough draft of redefining dues exemptions,"Check one:
- [X] Semantic Change: something about the meaning of the text is different
- [ ] Non-semantic Change: Spelling, grammar, or formatting changes.

Summary of change(s):
This is a semantic change and expansion based on clarifying the process where a Financial Director can provide an extension to a member for paying dues. I've expanded the section to allow the Financial Director (or eboard) to go through a series of possible solutions for active members who are having trouble paying dues.

Hit me with some critiques, this is just a rough draft and my first semantic change.
",0,0,0,1
ComputerScienceHouse/Constitution,194,Added fullstop to line 360,"Check one:
- [  ] Semantic Change: something about the meaning of the text is different
- [X] Non-semantic Change: Spelling, grammar, or formatting changes.

Summary of change(s):
Added a fullstop to line 360 to make sure it's clear that it's two sentences.

",0,0,0,0
ComputerScienceHouse/Constitution,193,Return auto pass to the written constitution,"Check one:
- [x] Semantic Change: something about the meaning of the text is different
- [ ] Non-semantic Change: Spelling, grammar, or formatting changes.

Summary of change(s):

We originally introduced auto-pass in #163, which was brought up to vote, and passed.
It seems that when the documents were merged in #172, this addition was lost.

This PR introduces the same wording, in the same sub section. This is exactly the same change as #163, and I believe current practice as of last year.

The original wording of #163 was:
```
All members who have completed all of their requirements will automatically pass their Membership Evaluation.
```
",0,0,0,1
ComputerScienceHouse/Constitution,192,Adding chairperson debate section,"Check one:
- [x] Semantic Change: something about the meaning of the text is different
- [ ] Non-semantic Change: Spelling, grammar, or formatting changes.

Summary of change(s):

There is now a debate that must be held between candidates for Chairperson so that we can cultivate an even more stressful (or fun!) election cycle
",0,0,0,2
ComputerScienceHouse/Constitution,191,Adds the ability for eboard or the evaluations director to remove a m…,"…ember from the list of required signatures (5.D.2.A.2)

Check one:
- [x] Semantic Change: something about the meaning of the text is different
- [ ] Non-semantic Change: Spelling, grammar, or formatting changes.

Summary of change(s):

",0,0,0,2
ComputerScienceHouse/Constitution,190,Updated README,"…ken links

Check one:
- [ ] Semantic Change: something about the meaning of the text is different
- [X] Non-semantic Change: Spelling, grammar, or formatting changes.

Summary of change(s):
Changed wording to reflect that there is only one document and fixed broken links
",0,0,0,2
