Repo,Issue-no,Issue-title,Issue-body,Issue-reaction-total-count,Issue-reaction-plus-one,Issue-reaction-minus-one,Issue-comments
OpenGenus/cosmos,6260,"Fix ""Sum of Digits"" Python algorithm","**Fixes issue:** https:  github.com OpenGenus cosmos issues 6259


**Changes:** Fix Sum of Digits algorithm since it was throwing an error when being executed",0,0,0,0
OpenGenus/cosmos,6259,Python sum of digits algorithm is throwing an error,"**This is a(n):**
<!-- choose one by changing [ ] to [x] -->
- [ ] New algorithm
- [ ] Update to an existing algorithm
- [x] Error
- [ ] Proposal to the Repository

**Details:**
The `sum_of_digits.py` algorithm is throwing an error since it is using the wronk variable to calculate the sum.

It should use the variable `input_text` but it is trying to use `input_number`.

",1,1,0,3
OpenGenus/cosmos,6258,Added doubly linked list in python,"**Fixes issue:**
<!-- [Mention the issue number it fixes or add the details of the changes if it doesn't has a specific issue. -->


**Changes:**
Added doubly linked list in python

<!-- Make sure to look at the Style Guide for your language in guides coding_style language_name:

     https:  github.com OpenGenus cosmos tree master guides coding_style

     Note: A coding style guide may not exist for your language, since this is still in beta.
-->

<!-- Make sure to look at the Documentation Style Guide in guides documentation.md:

     https:  github.com OpenGenus cosmos blob master guides documentation_guide.md

     The document style guide may not apply for your algorithm category, you must also look at specified guide under all of the directory in the category, e.g., for project euler:

     https:  github.com OpenGenus cosmos blob master code online_challenges src project_euler documentation_guide.md
-->
",1,1,0,1
OpenGenus/cosmos,6257,"Add ""Fibonacci"" Kotlin algorithm ","**Fixes issue:** No issue related

**Changes:** Add ""Fibonacci"" Kotlin algorithm ",0,0,0,0
OpenGenus/cosmos,6256,Create finding all possible combination of a three letter string,"**Fixes issue:**
There was no program for finding all possible combination of a three letter string . 

**Changes:**
I have added a program for finding all possible combination of a three letter string in java language under the sub folder java with the main folder as language

",0,0,0,0
OpenGenus/cosmos,6255,Added Postfix to Prefix [C++] Implementation ,"**Fixes issue:**
<!-- [Mention the issue number it fixes or add the details of the changes if it doesn't has a specific issue. -->

#6236 

**Changes:**
<!-- Add here what changes were made in this pull request. -->

I have added the implementation for converting string expressions from postfix to Prefix using C++.

<!-- Make sure to look at the Style Guide for your language in guides coding_style language_name:

     https:  github.com OpenGenus cosmos tree master guides coding_style

     Note: A coding style guide may not exist for your language, since this is still in beta.
-->

<!-- Make sure to look at the Documentation Style Guide in guides documentation.md:

     https:  github.com OpenGenus cosmos blob master guides documentation_guide.md

     The document style guide may not apply for your algorithm category, you must also look at specified guide under all of the directory in the category, e.g., for project euler:

     https:  github.com OpenGenus cosmos blob master code online_challenges src project_euler documentation_guide.md
-->
",0,0,0,0
OpenGenus/cosmos,6254,Dynamic Programming solution to Friends Pairing problem,"**Fixes issue:**
<!-- [Mention the issue number it fixes or add the details of the changes if it doesn't has a specific issue. -->
NA


**Changes:**
<!-- Add here what changes were made in this pull request. -->
Created Dynamic Programming implementation of Friends Pairing problem.


<!-- Make sure to look at the Style Guide for your language in guides coding_style language_name:

     https:  github.com OpenGenus cosmos tree master guides coding_style

     Note: A coding style guide may not exist for your language, since this is still in beta.
-->

<!-- Make sure to look at the Documentation Style Guide in guides documentation.md:

     https:  github.com OpenGenus cosmos blob master guides documentation_guide.md

     The document style guide may not apply for your algorithm category, you must also look at specified guide under all of the directory in the category, e.g., for project euler:

     https:  github.com OpenGenus cosmos blob master code online_challenges src project_euler documentation_guide.md
-->
",0,0,0,0
OpenGenus/cosmos,6253,Added Water Connection Algorithm,"**Fixes issue:**
<!-- [Mention the issue number it fixes or add the details of the changes if it doesn't has a specific issue. -->
added water connection algorithm for issue - Water Connection's Algorithm #6215 

**Changes:**
<!-- Add here what changes were made in this pull request. -->
Added Water Connection's algorithm in cpp under greedy algorithms directory

<!-- Make sure to look at the Style Guide for your language in guides coding_style language_name:

     https:  github.com OpenGenus cosmos tree master guides coding_style

     Note: A coding style guide may not exist for your language, since this is still in beta.
-->

<!-- Make sure to look at the Documentation Style Guide in guides documentation.md:

     https:  github.com OpenGenus cosmos blob master guides documentation_guide.md

     The document style guide may not apply for your algorithm category, you must also look at specified guide under all of the directory in the category, e.g., for project euler:

     https:  github.com OpenGenus cosmos blob master code online_challenges src project_euler documentation_guide.md
-->
",0,0,0,0
OpenGenus/cosmos,6252,Adding GCD_related_problems solution with Python,"**Fixes issue:**
Adding new algorithm that I have launch in the issues area. #6234 
<!-- [Mention the issue number it fixes or add the details of the changes if it doesn't has a specific issue. -->


**Changes:**
<!-- Add here what changes were made in this pull request. -->
Adding problem description(readme.md) and my algorithm solution(GCD_related_problems.py).

<!-- Make sure to look at the Style Guide for your language in guides coding_style language_name:

     https:  github.com OpenGenus cosmos tree master guides coding_style

     Note: A coding style guide may not exist for your language, since this is still in beta.
-->

<!-- Make sure to look at the Documentation Style Guide in guides documentation.md:

     https:  github.com OpenGenus cosmos blob master guides documentation_guide.md

     The document style guide may not apply for your algorithm category, you must also look at specified guide under all of the directory in the category, e.g., for project euler:

     https:  github.com OpenGenus cosmos blob master code online_challenges src project_euler documentation_guide.md
-->
",0,0,0,0
OpenGenus/cosmos,6251,Added Postfix to Prefix [C++] Implementation,"**Fixes issue:**
<!-- [Mention the issue number it fixes or add the details of the changes if it doesn't has a specific issue. -->
#6236 

**Changes:**
<!-- Add here what changes were made in this pull request. -->
I have added the implementation for converting string expressions from **postfix** to **Prefix** using C++.

<!-- Make sure to look at the Style Guide for your language in guides coding_style language_name:

     https:  github.com OpenGenus cosmos tree master guides coding_style

     Note: A coding style guide may not exist for your language, since this is still in beta.
-->

<!-- Make sure to look at the Documentation Style Guide in guides documentation.md:

     https:  github.com OpenGenus cosmos blob master guides documentation_guide.md

     The document style guide may not apply for your algorithm category, you must also look at specified guide under all of the directory in the category, e.g., for project euler:

     https:  github.com OpenGenus cosmos blob master code online_challenges src project_euler documentation_guide.md
-->
",0,0,0,0
OpenGenus/cosmos,6250,Java code for Fermats Little Theorem,"**Fixes issue:**

**Changes:**
Java code for Fermats Little Theorem",0,0,0,0
OpenGenus/cosmos,6249,Added Neville's Method and Lagrange's interpolation to numerical analysis,"**Fixes issue:**
<!-- [Mention the issue number it fixes or add the details of the changes if it doesn't has a specific issue. -->
I added Neville's Method and Lagrange's interpolation to numerical_analysis polynomial_interpolation

**Changes:**
<!-- Add here what changes were made in this pull request. -->


<!-- Make sure to look at the Style Guide for your language in guides coding_style language_name:

     https:  github.com OpenGenus cosmos tree master guides coding_style

     Note: A coding style guide may not exist for your language, since this is still in beta.
-->

<!-- Make sure to look at the Documentation Style Guide in guides documentation.md:

     https:  github.com OpenGenus cosmos blob master guides documentation_guide.md

     The document style guide may not apply for your algorithm category, you must also look at specified guide under all of the directory in the category, e.g., for project euler:

     https:  github.com OpenGenus cosmos blob master code online_challenges src project_euler documentation_guide.md
-->
",0,0,0,0
