Repo,Issue-no,Issue-title,Issue-body,Issue-reaction-total-count,Issue-reaction-plus-one,Issue-reaction-minus-one,Issue-comments
contentful/contentful-management.rb,232,Move Travis CI to travis-ci.com,"Transfer [one on travis-ci.org](https:  travis-ci.org github contentful contentful-management.rb) to [app.travis-ci.com](https:  app.travis-ci.com github contentful contentful-management.rb) like [other repos on Contentful](https:  app.travis-ci.com github contentful) since .org was shut down on June 15th, 2021.

Signed-off-by: Takuya Noguchi <takninnovationresearch@gmail.com>",0,0,0,1
contentful/contentful-management.rb,231,Adds getter setter for EditorInterface#sidebar property,Fixes #229,0,0,0,4
contentful/contentful-management.rb,230,Tasks implementation missing in contentful-management.rb,"Need to be able to create read update delete Tasks on an entry via contentful-management.rb.

need to:
   - create a Task Resource
   - include it in the Contentful::Management::ResourceBuilder class
   - update mapping of sys types to include Tasks
   - be able to run create_all_resources on the Contentful::Management::Response

See: https:  github.com contentful contentful-management.rb blob 517b03a2fdf200ead6092e39b92546705145730b lib contentful management resource_builder.rb",0,0,0,0
contentful/contentful-management.rb,229,editor_interface missing sidebar implementation,"Hello! It appears that contentful-management.rb is missing the implementation to manage the sidebar configurations on a `Contentful::Management::EditorInterface` resource, which is critical for some of the work our team at Square is working on

Reference: https:  www.contentful.com developers docs extensibility custom-sidebar  
API Reference: https:  www.contentful.com developers docs references content-management-api # reference editor-interface 

Ruby SDK missing `.sidebar` getter setters. Upon inspection of the `raw_object` the API response is correct, but the ruby SDK is missing this piece.

Opening an enterprise support ticket referencing this github issue. In the meantime, do you recommend modifying the raw_object manually and saving, or is there a better workflow within the constraints of the current implementation?

![image](https:  user-images.githubusercontent.com 492573 129217678-549fb799-8915-4bb5-9d1f-3f6c23c58f35.png)
",0,0,0,1
contentful/contentful-management.rb,228,fix validation hash,Fixes #211 ,0,0,0,1
contentful/contentful-management.rb,227,Feature all users,,0,0,0,0
contentful/contentful-management.rb,226,Get all users for a space or organization,"Adds ability to retrieve all users in a space or organisation. Please refer to https:  www.contentful.com developers docs references user-management-api # reference users for more details.

Fixes #224",0,0,0,0
contentful/contentful-management.rb,225,Get all users for a space or organization,"Adds ability to retrieve all users in a space or organization. Please refer to https:  www.contentful.com developers docs references user-management-api # reference users for more details.

Fixes #224 ",0,0,0,0
contentful/contentful-management.rb,224,Get all users implementation missing,"Hey, it looks like contentful-management.rb is missing the get all users API feature, which is quite critical for some user access control synchronization work our team at Square is about to execute on

API Reference: https:  www.contentful.com developers docs references user-management-api # reference users

Ruby SDK missing `.all` method functionality: 
![image](https:  user-images.githubusercontent.com 492573 117469938-41a5cb00-af24-11eb-9d4b-7fb7963df5d2.png)

Any ETA on this missing functionality being added?",0,0,0,6
contentful/contentful-management.rb,223,Creating entry with field 'id' doesn't work,"I've got a content type with field 'id', whn I'm trying to create it using the gem with:
entry = entry_content_type.entries.create(id: 123, name: 'Name') I get:
`Message: Validation error
Details: 
        * Name:  - Path: '' - Value: ''
        * Name:  - Path: '' - Value: ''`",0,0,0,4
contentful/contentful-management.rb,222,server tags metadata as _metadata,,0,0,0,0
contentful/contentful-management.rb,221,Entry destroy not working as expected,"Unpublish & archive working but destroy results in this error `FrozenError (can't modify frozen String: """")`. Tried unpublishing and or archiving first, but destroy still failed. Is there some other config or process to destroy entries?

```
module ContentfulAdapter
  module Management
    module DeleteEntries
      module_function

      def delete_all(entry_type:)
        cms_client = ContentfulAdapter::Management::CreateClient.call
        space = cms_client.spaces.find(ENV['CONTENTFUL_SPACE'])
        entries = space.entries.all(content_type: entry_type)

        entries.each do |entry|
          entry.unpublish
          entry.destroy
        end
      end
    end
  end
end
```

",0,0,0,1
contentful/contentful-management.rb,220,Fixes entry and asset loading with tags,Fixes #219 ,0,0,0,0
