Repo,Issue-no,Issue-title,Issue-body,Issue-reaction-total-count,Issue-reaction-plus-one,Issue-reaction-minus-one,Issue-comments
ivanperez-keera/Yampa,194,Fix travis deploy,"The travis file keeps trying to push the package to hackage. There are currently two related issues:
- The package is being uploaded on commits to the master branch, but that may be too late.
- There are two packages and travis doesn't know which one to upload.",0,0,0,0
ivanperez-keera/Yampa,193,Release Yampa 0.13.3,"Just to keep track of changes that relate to the release itself.
* Branch off develop.
* Bump version number in yampa and yampa-test.
* Document changes.
* Hide expose-core flag.
* Push to github.
* Confirm compilation with Travis CI.
* Fix issues, if any.
* Merge into master.
* Compile, test and cabal check locally.
* Push, wait for successful upload.
* Tag version.
* Merge into develop.
* Re-introduce expose-core flag.
* Push all branches and tags.",0,0,0,0
ivanperez-keera/Yampa,192,Documentation: Module indicator outside of haddock,"Some modules have the module, copyright, etc info before the module's documentation's haddock marker (i.e., `-- |`), which makes that information not be parsed or used by haddock.",0,0,0,0
ivanperez-keera/Yampa,191,Code cleaning: consistent alignment of pragmas,Language pragmas used in each file should be listed alphabetically and aligned consistently.,0,0,0,0
ivanperez-keera/Yampa,190,Code cleaning: lines should be limited to 80 characters,"As a way to standarize and clean all code, lines should be limited to 80 characters for all code.",0,0,0,0
ivanperez-keera/Yampa,189,Remove note from README,"The note:

```
(Interactivity and FRP is the main topic of my (ongoing) work and research, so I'll keep working on this for some time. -- Ivan Perez)
```

is informal and doesn't add value. If can be removed from the README.",0,0,0,0
ivanperez-keera/Yampa,188,Mention new games in README,"The README, in 'Use in production', only talks about Magic Cookies.

Should Enpuzzled be mentioned as well?",0,0,0,2
ivanperez-keera/Yampa,187,Install library with --lib in README,"The README mentions that the library can be installed with `cabal install Yampa`. While true, this will not give users of current versions of cabal access to it in their GHCi installations.

A better solution would be to install with `--lib`",0,0,0,1
ivanperez-keera/Yampa,186,Install library with --lib in README,"The README mentions that the library can be installed with `cabal install Yampa`. While true, this will not give users of current versions of cabal access to it in their GHCi installations.

A better solution would be to install with `--lib`.",0,0,0,0
ivanperez-keera/Yampa,185,Travis CI master branch build fails to upload packages,"The CI service is misconfigured and tries to upload to hackage, but it does not know which package to upload.

This causes an error in the build that otherwise works perfectly, suggesting to visitors that something in wrong with Yampa when all is, in fact, correct.",0,0,0,0
ivanperez-keera/Yampa,184,Re-structure documentation section,"The documentation section mentions how to build the haddock documentation.

I believe that is no longer necessary, since it's all on hackage.

Those details can be removed, leaving only the link to the hackage page and the wiki, and making papers a subsection.",0,0,0,0
