Repo,Issue-no,Issue-title,Issue-body,Issue-reaction-total-count,Issue-reaction-plus-one,Issue-reaction-minus-one,Issue-comments
oceanprotocol/contracts,367,"Remove coverage directory, fix coverage workflow","Fixes #366

Changes proposed in this PR:

- Remove coverage directory because it contains temporary files generated by unit tests and should not be included in the repository.
- Fix bugs in CI coverage workflow
  - Specify artifact download path (previously unspecified so defaulted to root directory, now downloads to `coverage ` directory)
  - Fix coverageLocations (previously pointing to `unit ` and `integration ` directories, now points to `coverage ` directory)",0,0,0,0
oceanprotocol/contracts,366,[v4main] Remove coverage  directory,The coverage  directory contains temporary files generated during unit tests and should not be stored to the repo. This issue is to delete the `coverage ` directory.,0,0,0,0
oceanprotocol/contracts,365,FixedExchangeRate creates an unnecessary token,"At RPI, we're trying to publish our API on the Ocean Marketplace.

In the past, we asked ourselves if e.g. we could publish an asset with a token and a price discovery pool but our lawyers in Germany came back and told us that this would involve incorporating in a token-friendly jurisdiction and lots of other jazz. Since the gain of using dynamic price discovery seemed negligible given the number of API users, we scrapped the whole idea for a while and decide to sit out the problem.

But then this week, we thought that we could maybe just use the FixedExchangeRate asset. Our mental model was that it'd entail deploying a smart contract that simply took OCEANs in exchange for API usage.

But going through the publishing steps now, it's become clear that indeed there too, an actual token is launched: 

- https:  market.oceanprotocol.com asset did:op:eb651bF2FFaE34E859431Eeba8ff6c686A4EcE55
- https:  rinkeby.etherscan.io token 0xeb651bF2FFaE34E859431Eeba8ff6c686A4EcE55

The problem with launching a token is regulatory uncertainty but in this case also the non-necessity. Conceptually, what we need to launch our API without talking to 3 lawyers in 4 countries is a contract that can take OCEAN in and then allows the sender to access a URI on the provider API based on the respective on-chain event. It's fairly simple from a technical perspective I believe.

It'd be important that there are explicitly no tokens used or deployed. E.g if we had deployed a FixedExchangeRate token on the Ethereum mainnet that'd allow transferring, wouldn't it allow anyone to create a dynamically priced pool and hence make us the emitters of a security?

We'd like to ensure that this won't happen, so we find deploying a token for a FixedExchangeRate unnecesary.",0,0,0,1
oceanprotocol/contracts,364,Remove .DS_Store and add to .gitignore,- Fixes #363,0,0,0,0
oceanprotocol/contracts,363,.DS_Store checked into repo,see . .DS_Store that should get added to .gitignore,0,0,0,0
oceanprotocol/contracts,362,repo isn't compatible with dapptools,"- [dapptools](https:  github.com dapphub dapptools)

```bash
dapp install oceanprotocol contracts
+ git submodule add --force https:  github.com oceanprotocol contracts lib contracts
Cloning into ' Users user Projects rpi-api lib contracts'...
remote: Enumerating objects: 18976, done.
remote: Counting objects: 100% (13755 13755), done.
remote: Compressing objects: 100% (9167 9167), done.
remote: Total 18976 (delta 4166), reused 13042 (delta 3509), pack-reused 5221
Receiving objects: 100% (18976 18976), 46.43 MiB | 2.46 MiB s, done.
Resolving deltas: 100% (7689 7689), done.
+ git submodule update --init --recursive lib contracts
+ git commit -m 'dapp install oceanprotocol contracts'
[main 91c8720] dapp install oceanprotocol contracts
 2 files changed, 4 insertions(+)
 create mode 160000 lib contracts
```

However, then when wanting to use the library e.g. `import ""contracts contracts balancer BPool.sol"";`, it fails as:

```bash
 user@kazoo  ~ Projects rpi-api   main  dapp test -vv
fatal: cannot change to 'lib contracts src': No such file or directory
child_process.js:661
    throw err;
    ^

Error: Command failed: git -C lib contracts src rev-parse HEAD
fatal: cannot change to 'lib contracts src': No such file or directory

    at checkExecSyncError (child_process.js:640:11)
    at Object.execFileSync (child_process.js:658:15)
    at run ( nix store krmy5xcqz1hg0a0s9hw0jhl65xgkb8a5-dapp-0.32.2 libexec dapp dapp-remappings:64:35)
    at  nix store krmy5xcqz1hg0a0s9hw0jhl65xgkb8a5-dapp-0.32.2 libexec dapp dapp-remappings:35:16
    at Array.forEach (<anonymous>)
    at findRemappings ( nix store krmy5xcqz1hg0a0s9hw0jhl65xgkb8a5-dapp-0.32.2 libexec dapp dapp-remappings:18:43)
    at Object.<anonymous> ( nix store krmy5xcqz1hg0a0s9hw0jhl65xgkb8a5-dapp-0.32.2 libexec dapp dapp-remappings:5:1)
    at Module._compile (internal modules cjs loader.js:1068:30)
    at Object.Module._extensions..js (internal modules cjs loader.js:1097:10)
    at Module.load (internal modules cjs loader.js:933:32) {
  status: 128,
  signal: null,
  output: [
    null,
    '',
    ""fatal: cannot change to 'lib contracts src': No such file or directory\n""
  ],
  pid: 14294,
  stdout: '',
  stderr: ""fatal: cannot change to 'lib contracts src': No such file or directory\n""
}
src RugPullIndex.sol:4:1: ParserError: Source ""contracts contracts balancer BPool.sol"" not found: File not found.
import ""contracts contracts balancer BPool.sol"";
^----------------------------------------------^
src RugPullIndex.t.sol:3:1: ParserError: Source ""ds-test test.sol"" not found: File not found.
import ""ds-test test.sol"";
^------------------------^
```

Workaround is to use dapptool's `DAPP_REMAPPINGS`. It's because oceanprotocol contracts doesn't expose their contracts through the recommended dapptools `lib` folder

remappings.txt

```txt
ds-test =lib ds-test src 
ds-test=lib ds-test src test.sol
oceanprotocol-contracts=lib oceanprotocol-contracts contracts
```

(Note that I renamed from ""contracts"" to ""oceanprotocol-contracts"".

Anyways, this still won't work because I guess openzepellin dependencies are injected by the tool that ocean repo is using.",0,0,0,1
oceanprotocol/contracts,361,"add tokenURI, remove console log","Fixes # .

Changes proposed in this PR:

- Add baseURI when deploying a new erc721 contract, add test
- Add support for later update of baseURI by NFT owner only, add test
- Remove console log",0,0,0,0
oceanprotocol/contracts,360,add test for buyDTBatch,"Fixes # .

Changes proposed in this PR:

- Add test for buyDTBatch()
- Add missing approval
- ",0,0,0,0
oceanprotocol/contracts,359,Feature fix docker,"Closes #356
",0,0,0,0
oceanprotocol/contracts,358,V4: Batch buys ,"If you need to buy multiple DT (let's say for a compute job which has multiple datasets), you have to send one transaction for each DT that you want to buy.

We could have a buyDTBatch function in FactoryRouter, that needs the following parameters:
 
- uint type[]  (fixedrate,dispenser,pool)
-  address source[] (fixed rate address , dispenser address, pool address) - depends on type (if fixed rate or dispenser, address can be 0, we can fill it from Factory)
 - bytes32[]  (can be either fixed rate exchangeID, or swapExactAmountOut   swapExactAmountIn for pools)
 - address[] - (only for pools, it's tokenIn)
- uint256[] - (only for pools, it's maxAmountIn (for swapExactAmountOut)   tokenAmountIn)
 - address[] - (only for pools, it's tokenOut)
- uint256[] - (fixed rate it's dataTokenAmount,  for pools, it's tokenAmountOut(for swapExactAmountOut)   minAmountOut)
- uint256[] - (only for pools, it's maxPrice)

Obviously, the consumer needs to approve the FactoryRouter address as spender of the required input tokens.

Perks:
 - one single call to buy multiple DT for multiple assets  (better UX, better gas optimization)
 - built-in support for DT 1 -> DT2 swaps  in one call (using intermediary base tokens. IE:   DT1 -> Ocean, Ocean -> DT2) (better UX, better gas optimization)

@trentmc @lacoop6tu ?",0,0,0,1
