Repo,Issue-no,Issue-title,Issue-body,Issue-reaction-total-count,Issue-reaction-plus-one,Issue-reaction-minus-one,Issue-comments
okta/samples-js-react-native,102,Test travis,,0,0,0,0
okta/samples-js-react-native,101,:memo: Updates README.md,Updates README.md to specify that `redirectUri` and `endSessionRedirectUri` must be unique from each other.,0,0,0,1
okta/samples-js-react-native,100,:memo: Updates README.md,Updates README.md to specify that `redirectUri` and `endSessionRedirectUri` must be unique from each other.,1,0,0,1
okta/samples-js-react-native,99,chore: Remove unnecessary CI installation,,0,0,0,0
okta/samples-js-react-native,98,travis test,,0,0,0,0
okta/samples-js-react-native,97,Updates samples dependencies,,0,0,0,0
okta/samples-js-react-native,96,fix: Travis CI report,Fix Travis CI reporting where `xcpretty` used.,0,0,0,0
okta/samples-js-react-native,95,Travis test,,0,0,0,0
okta/samples-js-react-native,94,Bump url-parse from 1.5.1 to 1.5.3 in  custom-sign-in,"Bumps [url-parse](https:  github.com unshiftio url-parse) from 1.5.1 to 1.5.3.
<details>
<summary>Commits< summary>
<ul>
<li><a href=""https:  github.com unshiftio url-parse commit ad444931666a30bad11472d89a216461cf16cae2""><code>ad44493< code>< a> [dist] 1.5.3< li>
<li><a href=""https:  github.com unshiftio url-parse commit c7984617e235892cc22e0f47bb5ff1c012e6e39f""><code>c798461< code>< a> [fix] Fix host parsing for file URLs (<a href=""https:  github-redirect.dependabot.com unshiftio url-parse issues 210"">#210< a>)< li>
<li><a href=""https:  github.com unshiftio url-parse commit 201034b8670c2aa382d7ec410ee750ac6f2f9c38""><code>201034b< code>< a> [dist] 1.5.2< li>
<li><a href=""https:  github.com unshiftio url-parse commit 2d9ac2c94067742b2116332c1e03be9f37371dff""><code>2d9ac2c< code>< a> [fix] Sanitize only special URLs (<a href=""https:  github-redirect.dependabot.com unshiftio url-parse issues 209"">#209< a>)< li>
<li><a href=""https:  github.com unshiftio url-parse commit fb128af4f43fa17f351d50cf615c7598c751f50a""><code>fb128af< code>< a> [fix] Use <code>'null'< code> as <code>origin< code> for non special URLs< li>
<li><a href=""https:  github.com unshiftio url-parse commit fed6d9e338ea39de2d68bb66607066d71328c62f""><code>fed6d9e< code>< a> [fix] Add a leading slash only if the URL is special< li>
<li><a href=""https:  github.com unshiftio url-parse commit 94872e7ab9103ee69b958959baa14c9e682a7f10""><code>94872e7< code>< a> [fix] Do not incorrectly set the <code>slashes< code> property to <code>true< code>< li>
<li><a href=""https:  github.com unshiftio url-parse commit 81ab967889b08112d3356e451bf03e6aa0cbb7e0""><code>81ab967< code>< a> [fix] Ignore slashes after the protocol for special URLs< li>
<li><a href=""https:  github.com unshiftio url-parse commit ee22050a48a67409aa5f7c87947284156d615bd1""><code>ee22050< code>< a> [ci] Use GitHub Actions< li>
<li><a href=""https:  github.com unshiftio url-parse commit d2979b586d8c7751e0c77f127d9ce1b2143cc0c9""><code>d2979b5< code>< a> [fix] Special case the <code>file:< code> protocol (<a href=""https:  github-redirect.dependabot.com unshiftio url-parse issues 204"">#204< a>)< li>
<li>Additional commits viewable in <a href=""https:  github.com unshiftio url-parse compare 1.5.1...1.5.3"">compare view< a>< li>
< ul>
< details>
<br  >


[![Dependabot compatibility score](https:  dependabot-badges.githubapp.com badges compatibility_score?dependency-name=url-parse&package-manager=npm_and_yarn&previous-version=1.5.1&new-version=1.5.3)](https:  docs.github.com en github managing-security-vulnerabilities about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[  ]: # (dependabot-automerge-start)
[  ]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options< summary>
<br  >

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
- `@dependabot use these labels` will set the current labels as the default for future PRs for this repo and language
- `@dependabot use these reviewers` will set the current reviewers as the default for future PRs for this repo and language
- `@dependabot use these assignees` will set the current assignees as the default for future PRs for this repo and language
- `@dependabot use this milestone` will set the current milestone as the default for future PRs for this repo and language

You can disable automated security fix PRs for this repo from the [Security Alerts page](https:  github.com okta samples-js-react-native network alerts).

< details>",0,0,0,0
okta/samples-js-react-native,93,Bump tmpl from 1.0.4 to 1.0.5 in  browser-sign-in,"Bumps [tmpl](https:  github.com daaku nodejs-tmpl) from 1.0.4 to 1.0.5.
<details>
<summary>Commits< summary>
<ul>
<li>See full diff in <a href=""https:  github.com daaku nodejs-tmpl commits v1.0.5"">compare view< a>< li>
< ul>
< details>
<br  >


[![Dependabot compatibility score](https:  dependabot-badges.githubapp.com badges compatibility_score?dependency-name=tmpl&package-manager=npm_and_yarn&previous-version=1.0.4&new-version=1.0.5)](https:  docs.github.com en github managing-security-vulnerabilities about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[  ]: # (dependabot-automerge-start)
[  ]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options< summary>
<br  >

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
- `@dependabot use these labels` will set the current labels as the default for future PRs for this repo and language
- `@dependabot use these reviewers` will set the current reviewers as the default for future PRs for this repo and language
- `@dependabot use these assignees` will set the current assignees as the default for future PRs for this repo and language
- `@dependabot use this milestone` will set the current milestone as the default for future PRs for this repo and language

You can disable automated security fix PRs for this repo from the [Security Alerts page](https:  github.com okta samples-js-react-native network alerts).

< details>",0,0,0,0
okta/samples-js-react-native,92,Bump tmpl from 1.0.4 to 1.0.5 in  custom-sign-in,"Bumps [tmpl](https:  github.com daaku nodejs-tmpl) from 1.0.4 to 1.0.5.
<details>
<summary>Commits< summary>
<ul>
<li>See full diff in <a href=""https:  github.com daaku nodejs-tmpl commits v1.0.5"">compare view< a>< li>
< ul>
< details>
<br  >


[![Dependabot compatibility score](https:  dependabot-badges.githubapp.com badges compatibility_score?dependency-name=tmpl&package-manager=npm_and_yarn&previous-version=1.0.4&new-version=1.0.5)](https:  docs.github.com en github managing-security-vulnerabilities about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[  ]: # (dependabot-automerge-start)
[  ]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options< summary>
<br  >

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
- `@dependabot use these labels` will set the current labels as the default for future PRs for this repo and language
- `@dependabot use these reviewers` will set the current reviewers as the default for future PRs for this repo and language
- `@dependabot use these assignees` will set the current assignees as the default for future PRs for this repo and language
- `@dependabot use this milestone` will set the current milestone as the default for future PRs for this repo and language

You can disable automated security fix PRs for this repo from the [Security Alerts page](https:  github.com okta samples-js-react-native network alerts).

< details>",0,0,0,0
okta/samples-js-react-native,91,fix: Fixes for version 2.1.0,,0,0,0,0
okta/samples-js-react-native,90,Updates okta react native version to 2.0.0,,0,0,0,0
okta/samples-js-react-native,89,adding refreshTokens example,Closes #88 ,0,0,0,0
okta/samples-js-react-native,88,Add refreshTokens example,,0,0,0,2
okta/samples-js-react-native,87,Bump react-native from 0.63.3 to 0.64.1 in  custom-sign-in,"Bumps [react-native](https:  github.com facebook react-native) from 0.63.3 to 0.64.1.
<details>
<summary>Release notes< summary>
<p><em>Sourced from <a href=""https:  github.com facebook react-native releases"">react-native's releases< a>.< em>< p>
<blockquote>
<h2>v0.64.1< h2>
<p>This patch release is specifically targetted towards fixing iOS build problems in Xcode 12.5. If it doesn't help, please refer to <a href=""https:  github-redirect.dependabot.com facebook react-native issues 31480"">this issue< a>.< p>
<p>Aside from bumping your version from 0.64.0 to 0.64.1, please check your podfile.lock and make sure that Flipper is on 0.75 or higher, and Flipper-Folly is 2.5.3 or higher; if not, add this line to your podfile (or modify it if you already had it):< p>
<pre><code>use_flipper!('Flipper' =&gt; '0.75.1', 'Flipper-Folly' =&gt; '2.5.3', 'Flipper-RSocket' =&gt; '1.3.1')
< code>< pre>
<p>After which, do all the classic necessary cleans (node_modules, caches, pod folders, etc)(<a href=""https:  github.com pmadruga react-native-clean-project"">react-native-clean-project< a> is your ally) then do <code>yarn install< code> and a <code>pod install --repo-update< code> (if pod install fails on an error about a Flipper package, just remove the relevant lines from the podfile.lock and run the pod install again).< p>
<p>The only other commit picked &amp; released along the Xcode 12.5 fixes is:< p>
<ul>
<li>Update validateBaseUrl to use latest regex (<a href=""https:  github.com facebook react-native commit ca09ae82715e33c9ac77b3fa55495cf84ba891c7"">commit< a>) which fixes CVE-2020-1920, GHSL-2020-293.< li>
< ul>
<hr  >
<p>You can participate in the conversation on the status of this release at <a href=""https:  github-redirect.dependabot.com react-native-community releases issues 224"">this issue< a>.< p>
<hr  >
<p>To help you upgrade to this version, you can use the <a href=""https:  react-native-community.github.io upgrade-helper "">upgrade helper< a> ⚛️< p>
<hr  >
<p>You can find the whole <a href=""https:  github.com react-native-community react-native-releases blob master CHANGELOG.md"">changelog history< a> over at <code>react-native-releases< code>.< p>
<h2>v0.64.0< h2>
<p>0.64 stable is here 🎉< p>
<p>Thanks to everyone who contributed and helped to get this together, everyone worked really hard and we hope you are as excited as we are 🤗< p>
<p>Some of the most important highlights of this version:< p>
<ul>
<li>Hermes opt-in on iOS< li>
<li>Inline Requires enabled by default< li>
<li>React 17< li>
< ul>
<p>Among many others - please refer to the <a href=""https:  reactnative.dev blog 2021 03 11 version-0.64"">blog post< a> for more details.< p>
<hr  >
<p>You can participate in the conversation on the status of this release at <a href=""https:  github-redirect.dependabot.com react-native-community releases issues 221"">this issue< a>.< p>
<hr  >
<p>You can upgrade to this version using the <a href=""https:  react-native-community.github.io upgrade-helper "">upgrade helper webtool< a> ⚛️
And if you are having trouble, please refer to the new <a href=""https:  github.com react-native-community upgrade-support"">Upgrade Support< a> repository by our awesome community.< p>
<hr  >
<!-- raw HTML omitted -->
< blockquote>
<p>... (truncated)< p>
< details>
<details>
<summary>Commits< summary>
<ul>
<li><a href=""https:  github.com facebook react-native commit 787567a15014c73b87353b7d418c064c5643e7cc""><code>787567a< code>< a> [0.64.1] Bump version numbers< li>
<li><a href=""https:  github.com facebook react-native commit cf8a364767df830d7255339741350bb53ab1a68a""><code>cf8a364< code>< a> [local] change post-install to patch RTC-Folly< li>
<li><a href=""https:  github.com facebook react-native commit 1c4ac48a55cf0703f0c8a32cbb07474a2d126f3e""><code>1c4ac48< code>< a> [local] yarn lock update (?)< li>
<li><a href=""https:  github.com facebook react-native commit 76f45d35e710f84a1cc44c90bc128494bc4280ce""><code>76f45d3< code>< a> [local] update RNTester files for 0.64< li>
<li><a href=""https:  github.com facebook react-native commit 3912fef6bf654cd11451a0898d784c4e32d37b1b""><code>3912fef< code>< a> Update validateBaseUrl to use latest regex< li>
<li><a href=""https:  github.com facebook react-native commit ace025d2cbcc06ef076cbf460be445b18baddcc7""><code>ace025d< code>< a> [0.64.0] Bump version numbers< li>
<li><a href=""https:  github.com facebook react-native commit 728d55a3e1919cfd4c718f58582d1714832d2fa7""><code>728d55a< code>< a> Fixing the git attrs for all the people and all the files and all future 🙌< li>
<li><a href=""https:  github.com facebook react-native commit 8a6ac1fef369071405a3bf14a89924c66f28d192""><code>8a6ac1f< code>< a> chore: Update React.podspec to require cocoapods &gt;= 1.10.1< li>
<li><a href=""https:  github.com facebook react-native commit 138fdbceda80005be87eed6a81373793ac72a47b""><code>138fdbc< code>< a> fix: restore refresh control fix< li>
<li><a href=""https:  github.com facebook react-native commit 7f3f80fc94d15a02b9b0364a3f230723df9d2086""><code>7f3f80f< code>< a> Fix RefreshControl layout when removed from window (<a href=""https:  github-redirect.dependabot.com facebook react-native issues 31024"">#31024< a>)< li>
<li>Additional commits viewable in <a href=""https:  github.com facebook react-native compare v0.63.3...v0.64.1"">compare view< a>< li>
< ul>
< details>
<br  >


[![Dependabot compatibility score](https:  dependabot-badges.githubapp.com badges compatibility_score?dependency-name=react-native&package-manager=npm_and_yarn&previous-version=0.63.3&new-version=0.64.1)](https:  docs.github.com en github managing-security-vulnerabilities about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[  ]: # (dependabot-automerge-start)
[  ]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options< summary>
<br  >

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
- `@dependabot use these labels` will set the current labels as the default for future PRs for this repo and language
- `@dependabot use these reviewers` will set the current reviewers as the default for future PRs for this repo and language
- `@dependabot use these assignees` will set the current assignees as the default for future PRs for this repo and language
- `@dependabot use this milestone` will set the current milestone as the default for future PRs for this repo and language

You can disable automated security fix PRs for this repo from the [Security Alerts page](https:  github.com okta samples-js-react-native network alerts).

< details>",0,0,0,1
