Repo,Issue-no,Issue-title,Issue-body,Issue-reaction-total-count,Issue-reaction-plus-one,Issue-reaction-minus-one,Issue-comments
sbt/sbt-aspectj,49,Travis CI dropped,"Given the poor handling of the recent security incident (https:  arstechnica.com information-technology 2021 09 travis-ci-flaw-exposed-secrets-for-thousands-of-open-source-projects ) I'm suspending Travis CI integration indefinitely.

Let's move on to GitHub Actions.",0,0,0,0
sbt/sbt-aspectj,48,How would I waive project dependencies? Does any free IDE support this plugin when running stuff?,Taking from your example on compile time waiving with annotations I could waive project source code but not the calls the libraries I'm using. I there any way to include library classes into being part of this plugins waiving with aspectJ?,0,0,0,0
sbt/sbt-aspectj,47,Platform-specific tests in example projects,"Currently something like this is found in [6 different places](https:  github.com sbt sbt-aspectj search?q=%5Cnhello) in the code base:

```scala
val expected = ""Printing sample:\nhello\n""
```

Those tests will all fail on Windows due to the different line separators. Please replace all occurrences by something like:

```scala
val LF = System.lineSeparator()
val expected = ""Printing sample:"" + LF + ""hello"" + LF
```

See also: https:  stackoverflow.com a 67427841 1082681",0,0,0,0
sbt/sbt-aspectj,46,"Bumped aspectj version to 1.9.6, apsectjSource to 1.9, sbt to 1.4.6","The purpose of the PR is to make it easier for sbt projects to use aspectj 1.9.x that is compatible with Java 11. Tested it by publishing it to local repo using sbt publishLocal. Environment: macOS Big Sur version 11.2 using openjdk 11.0.9.1, Scala 2.12.12, and sbt 1.4.6.",1,1,0,1
sbt/sbt-aspectj,45,Apply aspect for test classes with sbt-aspectj,"How to apply aspects for unit-test using sbt-aspectj. It's only worked for my project main classes and not worked for test classes

My config in build.sbt
```
aspectjSettings
aspectjInputs in Aspectj += (aspectjCompiledClasses in Aspectj).value

aspectjCompileOnly in Aspectj := true

products in Compile := (products in Aspectj).value

products in Runtime := (products in Compile).value
```
test classes located under {proj} tests folder",0,0,0,0
sbt/sbt-aspectj,44,Creating an external aspectj library,"I am in the process of writing a library that does monitoring OpenTracing and I am attempting to use sbt-aspectj so that users of the library don't need to manually instrument their code. I am currently however getting an issue with creating an sbt-project representing such a library.

The idea is that I want an external library as indicated in this sample here https:  github.com sbt sbt-aspectj tree master src sbt-test weave external however that external library is dependant on an external dependency (i.e. `akka-actors`). Basically I am trying to combine both https:  github.com sbt sbt-aspectj tree master src sbt-test weave external and https:  github.com sbt sbt-aspectj tree master src sbt-test weave jar. I have created a sample project here https:  github.com mdedetrich sbt-aspectj-issue to indicate the problem I am having however below is the relevant sample

```sbt
lazy val root = (project in file("".""))
  .enablePlugins(SbtAspectj)
  .settings(
    name := RootName,
    version := Version,
       add akka-actor as an aspectj input (find it in the update report)
      aspectjInputs in Aspectj ++= update.value.matching(
        moduleFilter(organization = ""com.typesafe.akka"", name = ""akka-actor*"")),
       replace the original akka-actor jar with the instrumented classes in runtime
      fullClasspath in Runtime := aspectjUseInstrumentedClasses(Runtime).value,
       only compile the aspects (no weaving)
    aspectjCompileOnly in Aspectj := true,
       ignore warnings (we don't have the target classes at this point)
    aspectjLintProperties in Aspectj += ""invalidAbsoluteTypeName = ignore"",
       replace regular products with compiled aspects
    products in Compile ++= (products in Aspectj).value,
    libraryDependencies ++= Seq(
      ""com.typesafe.akka"" %% ""akka-actor"" % akkaVersion
    )
  )

lazy val test = (project in file(""test""))
  .enablePlugins(SbtAspectj)
  .settings(
    aspectjBinaries in Aspectj ++= update.value.matching(
      moduleFilter(organization = Organization, name = s""$RootName*"")),
    aspectjInputs in Aspectj ++= update.value.matching(
      moduleFilter(organization = ""com.typesafe.akka"", name = ""akka-actor*"")),
    fullClasspath in Runtime := aspectjUseInstrumentedClasses(Runtime).value,
       weave this project's classes
    aspectjInputs in Aspectj += (aspectjCompiledClasses in Aspectj).value,
    products in Compile := (products in Aspectj).value,
    products in Runtime := (products in Compile).value,
    libraryDependencies ++= Seq(
      Organization %% RootName % Version
    )
  )
```

The idea is that we publish the `root` project using `root publishLocal` and the test project is just designed to include `root` as a `libraryDependency` so we can see if the aspect-j is working properly.

The problem is simple that I am unable to get it working. The current code at https:  github.com mdedetrich sbt-aspectj-issue publishes with `root publishLocal` (not sure if its correct though) however when I then do `test run` I get this

```
[info] Weaving 2 inputs with 1 AspectJ binary to  home mdedetrich github sbt-aspectj-issue test target scala-2.13 aspectj classes...
[error] stack trace is suppressed; run last test   Compile   packageBin for the full output
[error] (test   Compile   packageBin) java.util.zip.ZipException: duplicate entry: META-INF MANIFEST.MF
[error] Total time: 1 s, completed Dec 29, 2019 4:31:27 PM
sbt:sbt-aspectj-issue> 
```

Which seems to be an issue with having duplicate `akka-actor` entries. I tried toggling various entries in `build.sbt` but didn't manage to get it working.",0,0,0,0
sbt/sbt-aspectj,43,Update Aspectj,"The new version of AspectJ adds support for Java 9 and 10.

References
https:  www.eclipse.org aspectj doc released README-191.html
https:  www.eclipse.org aspectj doc released README-190.html",0,0,0,2
sbt/sbt-aspectj,42,sbt-aspectJ with Play org.aspectj.bridge.AbortException: ReflectionFactory unable to load org.aspectj.ajdt.ajc.AjdtCommand as org.aspectj.bridge.ICommand,"I am trying to use aspectJ within a play app. After lot of digging around I am able to configure the aspectJ where I can see my java classes being weaved. But I am getting a runtime exception as soon as I am trying to hit the Play service 

[Weaving 1 input to D:\Rogers\source\dpt-play-profile-service\target\scala-2.12\aspectj\classes...←[
[error] org.aspectj.bridge.AbortException: ReflectionFactory unable to load org.aspectj.ajdt.ajc.AjdtCommand as org.aspectj.bridge.ICommand
[error]        at co.lightbend.sbt.SbtAspectj$Ajc$$anon$1.handleessage(SbtAspectj.scala:21)
[error]        at org.aspectj.bridge.essageHandler.handleessage(essageHandler.java:15)
[error]        at org.aspectj.bridge.ReflectionFactory.ake(ReflectionFactory.java:78)
[error]        at org.aspectj.bridge.ReflectionFactory.akeCoand(ReflectionFactory.java:36)
[error]        at org.aspectj.tools.ajc.ain.run(ain.java:364)
[error]        at org.aspectj.tools.ajc.ain.runain(ain.java:248)
[error]        at co.lightbend.sbt.SbtAspectj$Ajc$.runAjcain(SbtAspectj.scala:211)
[error]        at co.lightbend.sbt.SbtAspectj$Ajc$.runAjc(SbtAspectj.scala:124)
[error]        at co.lightbend.sbt.SbtAspectj$Ajc$.$anonfun$ajcTask$2(SbtAspectj.scala:111)
[error]        at sbt.util.FileFunction$.$anonfun$cached$1(FileFunction.scala:73)
[error]        at sbt.util.FileFunction$.$anonfun$cached$4(FileFunction.scala:147)
[error]        at sbt.util.Difference.apply(Tracked.scala:3)
[error]        at sbt.util.Difference.apply(Tracked.scala:293)
[error]        at sbt.util.FileFunction$.$anonfun$cached$3(FileFunction.scala:143)
[error]        at sbt.util.Difference.apply(Tracked.scala:3)
[error]        at sbt.util.Difference.apply(Tracked.scala:288)
[error]        at sbt.util.FileFunction$.$anonfun$cached$2(FileFunction.scala:142)
[error]        at co.lightbend.sbt.SbtAspectj$Ajc$.$anonfun$ajcTask$1(SbtAspectj.scala:116)
[error]        at scala.Function1.$anonfun$copose$1(Function1.scala:44)
[error]        at sbt.internal.util.$tilde$greater.$anonfun$$u2219$1(TypeFunctions.scala:39)
[error]        at sbt.std.Transfor$$anon$4.work(Syste.scala:66)
[error]        at sbt.Execute.$anonfun$subit$2(Execute.scala:262)
[error]        at sbt.internal.util.ErrorHandling$.wideConvert(ErrorHandling.scala:16)
[error]        at sbt.Execute.work(Execute.scala:271)
[error]        at sbt.Execute.$anonfun$subit$1(Execute.scala:262)
[error]        at sbt.ConcurrentRestrictions$$anon$4.$anonfun$subitValid$1(ConcurrentRestrictions.scala:174)
[error]        at sbt.CopletionService$$anon$2.call(CopletionService.scala:36)
[error]        at java.util.concurrent.FutureTask.run(Unknown Source)
[error]        at java.util.concurrent.Executors$RunnableAdapter.call(Unknown Source)
[error]        at java.util.concurrent.FutureTask.run(Unknown Source)
[error]        at java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source)
[error]        at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source)
[error]        at java.lang.Thread.run(Unknown Source)



**below is what I am using as settings in the build.sbt**

.settings(aspectjSettings,
  AspectjKeys.aspectjVerbose := true,
  AspectjKeys.aspectjShowWeaveInfo := true,
  AspectjKeys.aspectjVersion := ""1.8.5"",
  aspectjInputs in Aspectj += (aspectjCompiledClasses in Aspectj).value,
  products in Compile := (products in Aspectj).value
 products in Runtime := (products in Compile).value
)
javaAgents += ""org.aspectj"" % ""aspectjweaver"" % ""1.8.5"" % ""compile;test""
javaOptions in run ++= (AspectjKeys.aspectjWeaverOptions in Aspectj).value
",0,0,0,1
sbt/sbt-aspectj,41,"sbt {1.1.5, 0.13.17}",,0,0,0,1
sbt/sbt-aspectj,40,Migrating to the new version of sbt-aspectj,"I am trying to compile and run a tool, which is using an **old version** of sbt-aspectj (com.typesafe.sbtaspectj"" % ""sbt-aspectj"" % ""0.5.3""). I updated the plugins.sbt file to switch to the new version (""com.lightbend.sbt"" % ""sbt-aspectj"" % ""0.11.0""). I updated the build file as well. The original build file can be found in this link: https:  github.com samira-t Bita blob master project Build.scala

Hereby, I updated the **import statements** as follows:

mport com.lightbend.sbt.SbtAspectj 
import com.lightbend.sbt.AspectjKeys.{ aspectjInputs, aspectjBinaries, aspectjWeave }

Then I updated the **library dependencies** as follows:

libraryDependencies ++= Seq(
		""com.typesafe.akka"" %% ""akka-actor"" % ""2.4.1"",
		""org.scalatest"" %% ""scalatest"" % ""2.2.4"" % ""test"",
		""org.scala-lang"" % ""scala-reflect"" % ""2.11.7"",
		""org.scala-lang.modules"" %% ""scala-xml"" % ""1.0.4""
	  ),

The following definition does not work since **""inputs in Aspectj""** is apparently not defined anymore:

inputs in Aspectj <<=  update map { report =>
        report.matching(moduleFilter(organization = ""com.typesafe.akka"", name = ""akka-actor""))
      },

So, I changed it as follows (hoping that this value in AspectjKeys is representative):

aspectjInputs <<=  update map { report =>
        report.matching(moduleFilter(organization = ""com.typesafe.akka"", name = ""akka-actor""))
      },

I changed the last two lines for **using the instrumented versions** as well (hoping that they are comparable to the use of AspectjPlugin.useInstrumentedClasses and AspectjPlugin.useInstrumentedJars):

fullClasspath in Test <<= SbtAspectj.aspectjUseInstrumentedClasses(Test),
fullClasspath in Runtime <<= SbtAspectj.aspectjUseInstrumentedClasses(Runtime)))

Assuming that the above modifications are correct, the part that I am really puzzled with is the definition of an **aspect filter** as copied below:

aspectFilter in Aspectj := {
         (jar, aspects) =>
          {
            if (jar.name.contains(""akka-actor"") )
              aspects filter (jar => (jar.name.startsWith(""Actor"")))
            else Seq.empty[File]
          }
      },

Apperrently such a filter is not defined in the version. I also could not find a representative definition.
",0,0,0,4
sbt/sbt-aspectj,39,Add version number to README,,0,0,0,1
sbt/sbt-aspectj,38,sbt-aspectj not found,"Now, there is no available version 

addSbtPlugin(""com.lightbend.sbt"" % ""sbt-aspectj"" % ""{version}"")

Error:Unresolved dependencies:<ul><li> com.lightbend.sbt#sbt-aspectj;0.13.15: not found< li>< ul>See complete log in <a href=""file: Users cubeanliu Library Logs IntelliJIdea2017.2 sbt.last.log"">file: Users cubeanliu Library Logs IntelliJIdea2017.2 sbt.last.log< a>

 I tried version 0.13.13, 0.13.15, 1.0.0, 1.0.2, they are all not working.

What's the problem now?",0,0,0,1
